magic,entry_time,exit_time,volume,entry_price,exit_price,executive_stop,disaster_stop,exit_reason,net_pnl,cash_after
6002,2022-07-27 21:00:00+00:00,2022-08-02 07:00:00+00:00,0.02,12592.789,12875.239,12238.969000000001,12121.029000000002,signal_exit,112.85999999999956,103589.68720000093
6001,2022-08-02 17:00:00+00:00,2022-08-03 03:00:00+00:00,0.02,12962.059000000001,12888.029,12615.071125,12499.408500000001,signal_exit,-29.73200000000026,103559.89520000093
6002,2022-08-02 17:00:00+00:00,2022-08-03 03:00:00+00:00,0.02,12962.059000000001,12888.029,12615.071125,12499.408500000001,signal_exit,-29.73200000000026,103530.22320000092
6001,2022-08-03 14:00:00+00:00,2022-08-05 14:00:00+00:00,0.03,12979.999,13113.737,12664.911999999998,12559.882999999998,signal_exit,80.06279999999961,103610.19600000093
6002,2022-08-03 12:00:00+00:00,2022-08-08 00:00:00+00:00,0.03,12946.227,13161.309,12634.428750000001,12530.496,signal_exit,128.8691999999991,103739.15520000093
6001,2022-08-10 15:00:00+00:00,2022-08-11 20:00:00+00:00,0.03,13296.299,13297.917,12988.924625000001,12886.4665,signal_exit,0.7907999999991444,103739.88600000093
6002,2022-08-11 00:00:00+00:00,2022-08-11 21:00:00+00:00,0.02,13352.149000000001,13295.377,13007.504875000002,12892.623500000002,signal_exit,-22.828800000000335,103717.11720000092
6001,2022-08-12 11:00:00+00:00,2022-08-16 20:00:00+00:00,0.03,13374.029,13602.219,13123.940750000002,13040.578000000003,signal_exit,136.7339999999992,103853.85120000092
6002,2022-08-18 19:00:00+00:00,2022-08-19 05:00:00+00:00,0.02,13521.097,13476.989,13189.537,13079.017,signal_exit,-17.76320000000007,103836.02800000092
6001,2022-08-18 19:00:00+00:00,2022-08-19 06:00:00+00:00,0.02,13521.097,13469.469,13189.537,13079.017,signal_exit,-20.771200000000242,103815.31680000092
6001,2022-08-25 03:00:00+00:00,2022-08-26 16:00:00+00:00,0.03,12957.679,12878.199,12673.642749999999,12578.964,signal_exit,-47.867999999999746,103767.35880000092
6002,2022-08-25 09:00:00+00:00,2022-08-26 16:00:00+00:00,0.03,13057.609,12878.199,12814.138375,12732.9815,signal_exit,-107.82599999999991,103659.62280000091
6001,2022-08-30 11:00:00+00:00,2022-08-30 19:00:00+00:00,0.02,12625.327000000001,12288.359,12294.824125,12184.6565,executive_stop,-134.90720000000033,103524.71560000091
6001,2022-09-02 04:00:00+00:00,2022-09-02 12:00:00+00:00,0.02,12260.819,12248.089,11878.277375,11750.763500000001,signal_exit,-5.211999999999825,103519.50360000091
